platform,platform_id,name,country,rating,students,sessions,youtube_url,is_pro,prospect_score,profile_url,headline
"italki","1502002","Zhou Yi_Sophia","CN","5","112","1355","https://www.youtube.com/watch?v=nlb-Fnlb3ho","true","90","https://www.italki.com/en/teacher/1502002","Start teaching language Since 2012 / over 10,000 teaching hours / all kinds of courses experienced"
"italki","4418010","Zoe Z","CN","5","141","2287","https://www.youtube.com/watch?v=B9omlGCg4Ag","true","90","https://www.italki.com/en/teacher/4418010","😊Highly Rebooked⭐️Certified with 10 yrs experience⭐️easy to be conversational⭐️structured&homework"
"italki","8730761","Teacher Rain Pro+","PH","5","747","9300","https://www.youtube.com/watch?v=RA_keZqWF_I","false","90","https://www.italki.com/en/teacher/8730761","Licensed Professional Teacher|15 YEARS of TEACHING EXPERIENCE| TESOL|International Relations Scholar"
"italki","8852721","Des","GB","5","183","2166","https://www.youtube.com/watch?v=62FMR1-zEho","true","90","https://www.italki.com/en/teacher/8852721","Master the English Language with Guru English!"
"italki","10310509","Yamile","CO","5","151","3206","https://www.youtube.com/watch?v=I7l_oV2cUoY","true","90","https://www.italki.com/en/teacher/10310509",""
"italki","5033340","Muhammad","PK","4.9","1028","6822","https://www.youtube.com/watch?v=7_OBHW89FdI","false","90","https://www.italki.com/en/teacher/5033340","3 Services: TEF/TCF/DELF Preparation, Beginner French Course, French Conversations"
"italki","10308910","George","GR","5","553","11300","https://www.youtube.com/watch?v=o5TE4cywYws","false","90","https://www.italki.com/en/teacher/10308910","⭐ 11,000 LESSONS ON ITALKI! ⭐"
"italki","7650761","Chaimae","MA","5","664","6736","https://www.youtube.com/watch?v=xjC33QRRHuw","false","90","https://www.italki.com/en/teacher/7650761","I help turn French language learners into French speakers. Follow me for podcast and more"
"italki","7879614","Sascha","DE","5","1516","11222","https://www.youtube.com/watch?v=NtX_bAApPF0","false","90","https://www.italki.com/en/teacher/7879614","Deutsch-Tutor und Historiker mit mehr als 2 Jahren Erfahrung auf italki (B1-C2)"
"italki","11017207","Taka it Easy","JP","5","554","7162","https://www.youtube.com/watch?v=gORdksbMop4","false","90","https://www.italki.com/en/teacher/11017207","I’ll help turn your worries about learning a language into fun and confidence."
"italki","1650402","Tom","JP","5","1427","9777","https://www.youtube.com/watch?v=zNuEtvQWfW4","false","90","https://www.italki.com/en/teacher/1650402","Friendly teacher with over 9,600 lessons taught on italki!"
"italki","12631615","⭐ Louise ⭐","DZ","5","619","8397","https://www.youtube.com/watch?v=ZwUtw2OQSAw","false","90","https://www.italki.com/en/teacher/12631615","🚀 One Month of My Bootcamp > 6 Months of Ordinary French Classes ⏳ Intensive TCF/TEF Preparation 📝"
